tile_k,layout,tag_name,kernel_kind,load_conflicts,store_conflicts,total_conflicts,is_hardware_ncu
128,hexcute_swizzle_2_3_3,stress_col0_row_2lane,stress,3145959,0,3145959,1
128,hexcute_swizzle_2_3_3,stress_col_lane_row_lane,stress,3145844,0,3145844,1
128,hexcute_swizzle_2_3_3,stress_col_3lane_row_lane,stress,3145830,0,3145830,1
128,cute_swizzle_3_3_3,stress_col0_row_lane,stress,7340273,0,7340273,1
128,cute_swizzle_3_3_3,stress_col0_row_2lane,stress,3145964,0,3145964,1
128,cute_swizzle_3_3_3,stress_col_lane_row_lane,stress,3145854,0,3145854,1
128,cute_swizzle_3_3_3,stress_col_3lane_row_lane,stress,3145823,0,3145823,1
128,isl_affine_a1,stress_col0_row_lane,stress,182,0,182,1
128,isl_affine_a1,stress_col0_row_2lane,stress,162,0,162,1
128,isl_affine_a1,stress_col_lane_row_lane,stress,1048805,0,1048805,1
128,isl_affine_a1,stress_col_3lane_row_lane,stress,3145993,0,3145993,1
128,isl_affine_a3,stress_col0_row_lane,stress,192,0,192,1
128,isl_affine_a3,stress_col0_row_2lane,stress,183,0,183,1
128,isl_affine_a3,stress_col_lane_row_lane,stress,3145984,0,3145984,1
128,isl_affine_a3,stress_col_3lane_row_lane,stress,1048815,0,1048815,1
128,isl_blocked_affine,stress_col0_row_lane,stress,1048653,0,1048653,1
128,isl_blocked_affine,stress_col0_row_2lane,stress,177,0,177,1
128,isl_blocked_affine,stress_col_lane_row_lane,stress,1048803,0,1048803,1
128,isl_blocked_affine,stress_col_3lane_row_lane,stress,174,0,174,1
