tile_k,layout_id,layout,tag,tag_name,kernel_kind,load_conflicts,store_conflicts,total_conflicts,ncu_rows,is_hardware_ncu
-3,-1,pointwise_or_other,-1,pointwise_or_other,softmax_like,0,0,0,24,1
-2,-1,pointwise_or_other,-1,pointwise_or_other,gelu,0,0,0,36,1
-1,-1,pointwise_or_other,-1,pointwise_or_other,layernorm,0,0,0,24,1
64,0,naive,0,qkv_or_ffn_up,gemm,325763,5997735,6323498,24,1
64,0,naive,1,attn_score,gemm,26884,516057,542941,12,1
64,0,naive,2,attn_value_or_ffn_down,gemm,0,0,0,12,1
64,0,naive,3,out_proj,gemm,96177,4138803,4234980,24,1
